dataset_id	dataset_name	sample_id	probe_id	yugene_value
6267	Guijarro-Muñoz_2014_24307174	MSC_rep_1	7953385	0.999946203052
6440	Rajaram_2013_24068959	TSfib HFF1 and BCEC MDAMB231 coculture, replicate 2	7953385	0.999945655987
6267	Guijarro-Muñoz_2014_24307174	MSC_rep_2	7953385	0.999943552977
6267	Guijarro-Muñoz_2014_24307174	MSC_rep_3	7953385	0.999942484599
6440	Rajaram_2013_24068959	Fib CCD1112Sk and BCEC Cal51 coculture, replicate 3	7953385	0.999892103882
6267	Guijarro-Muñoz_2014_24307174	HBVP_rep_3	7953385	0.999891182979
6440	Rajaram_2013_24068959	Fib CCD1112Sk and BCEC Cal51 coculture, replicate 2	7953385	0.999888614266
6267	Guijarro-Muñoz_2014_24307174	HBVP_rep_2	7953385	0.99988552573
6382	Lockstone_2007_17950572	DS replicate 4	212581_x_at	0.99986851759
6382	Lockstone_2007_17950572	DS replicate 3	212581_x_at	0.99986003718
6440	Rajaram_2013_24068959	TSfib HFF1 and BCEC MDAMB231 coculture, replicate 1	7953385	0.999843759384
6440	Rajaram_2013_24068959	BCEC MDAMB231 and Fib CCD1112Sk coculture, replicate 3	7953385	0.999833845313
6267	Guijarro-Muñoz_2014_24307174	HBVP_rep_1	7953385	0.99983357514
6277	Tailleux_2008_18167562	hMDM MTB 48h Donor2	212581_x_at	0.999811245599
6216	Benisch_2012_23028809	MSC_healthy_donor_rep_1	213453_x_at	0.999809184008
6145	Ohi_2011_21499256	Hepatocyte rep1	7953385	0.999763619299
6440	Rajaram_2013_24068959	BCEC MDAMB231 and TSfib HFF1 coculture, replicate 2	7953385	0.999748635646
6440	Rajaram_2013_24068959	BCEC MDAMB231 and TSfib HFF1 coculture, replicate 3	7953385	0.999745718239
6440	Rajaram_2013_24068959	BCEC Cal51 and Fib CCD1112Sk coculture, replicate 3	7953385	0.999741975726
6277	Tailleux_2008_18167562	hMDM MTB 48h Donor1	212581_x_at	0.999739569394
6207	Gottschling_2013_23294501	MSC_NSCLC_Rep_4	212581_x_at	0.99973836165
6277	Tailleux_2008_18167562	hMDM MTB 18h Donor1	212581_x_at	0.999737832355
6440	Rajaram_2013_24068959	TSfib HFF1 and BCEC MDAMB231 coculture, replicate 3	7953385	0.999736550053
6440	Rajaram_2013_24068959	BCEC MDAMB231 and TSfib HFF1 coculture, replicate 1	7953385	0.999733951824
6161	Masaki_2007_19383391	iPSC on mTeSR/matrigel freeze-thaw rep1	213453_x_at	0.999728331281
6440	Rajaram_2013_24068959	BCEC MDAMB231 and Fib CCD1112Sk coculture, replicate 1	7953385	0.999727588262
6440	Rajaram_2013_24068959	BCEC MDAMB231 and Fib CCD1112Sk coculture, replicate 2	7953385	0.99972533387
6440	Rajaram_2013_24068959	Fib CCD1112Sk and BCEC MDAMB231 coculture, replicate 2	7953385	0.999722404605
6440	Rajaram_2013_24068959	Fib CCD1112Sk and BCEC MDAMB231 coculture, replicate 1	7953385	0.999719418094
6440	Rajaram_2013_24068959	Fib CCD1112Sk and BCEC MDAMB231 coculture, replicate 3	7953385	0.999711202853
6345	Walenda_2013_24147049	MSC late passage TGFB 12h, donor 1	7953385	0.999688560416
6440	Rajaram_2013_24068959	TSfib HFF1 and BCEC Cal51 coculture, replicate 4	7953385	0.999684784612
6345	Walenda_2013_24147049	MSC early passage TGFB 4h, donor 2	7953385	0.999679353103
6199	Koch_2013_23032973	BM MSC early rep 2	7953385	0.99967582782
6345	Walenda_2013_24147049	MSC early passage, donor 2	7953385	0.999675695956
6345	Walenda_2013_24147049	MSC early passage TGFB 1h, donor 1	7953385	0.999674981014
6345	Walenda_2013_24147049	MSC early passage, donor 1	7953385	0.999673486548
6199	Koch_2013_23032973	BM MSC early rep 1	7953385	0.999673456409
6345	Walenda_2013_24147049	MSC early passage TGFB 4h, donor 1	7953385	0.999673209725
6277	Tailleux_2008_18167562	hMDM MTB 4h Donor8	212581_x_at	0.999670879774
6440	Rajaram_2013_24068959	BCEC Cal51 and Fib CCD1112Sk coculture, replicate 2	7953385	0.999670446399
6440	Rajaram_2013_24068959	TSfib HFF1, replicate 1	7953385	0.999668321895
6145	Ohi_2011_21499256	Hepatocyte rep3	7953385	0.99966769123
6614	Strunnikova_20360305_2010	fcRPE, 292FW8, replicate 11	212581_x_at	0.999662750447
6145	Ohi_2011_21499256	Melanocyte rep2	7953385	0.999657965921
6145	Ohi_2011_21499256	Foreskin fibroblast rep3	7953385	0.999654246986
6614	Strunnikova_20360305_2010	fcRPE, 292FW1, replicate 1	212581_x_at	0.999646993262
6440	Rajaram_2013_24068959	BCEC Cal51 and TSfib HFF1 coculture, replicate 4	7953385	0.999643323066
6454	Sukarieh_2014_25129543d	MSC small gestational age 0min, replicate 1	ILMN_2038778	0.999640610059
6345	Walenda_2013_24147049	MSC early passage TGFB 1h, donor 3	7953385	0.999630692788
6199	Koch_2013_23032973	BM MSC late rep 2	7953385	0.999629038641
