dataset_id	dataset_name	sample_id	probe_id	yugene_value
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10452415	0.9999505625
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10452415	0.9999489549
5019	Pelekanos_2011_22099021	cCFU-f rep2	ILMN_2758581	0.9999208095
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10452415	0.9999091898
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10452415	0.9999015734
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10452415	0.9999011597
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10411452	0.9999011295
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10411452	0.9999002936
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10452415	0.9998988382
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10548143	0.9998980916
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10452415	0.9998923858
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10452415	0.9998908978
4000	Asselin-Labat_2010_20383121	MaSC_GSM511132	ILMN_2758581	0.999876139
6231	Kojima_2013_24139757	EpiSCs_CAV2_2	ILMN_2758581	0.9998647987
6231	Kojima_2013_24139757	EpiSCs_CAV2_1	ILMN_2758581	0.9998642454
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10353250	0.9998523479
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10353250	0.9998506034
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10411452	0.9998500534
6231	Kojima_2013_24139757	EpiSCs_LB3_3	ILMN_2758581	0.9998485579
5019	Pelekanos_2011_22099021	cCFU-f rep1	ILMN_2758581	0.9998406459
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10452415	0.9998405412
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d6 p i with LCMV-Arm CD8+ Acute Day6	10452415	0.9998392355
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10452415	0.9998362725
