dataset_id	dataset_name	sample_id	probe_id	yugene_value
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10452415	0.999950562522
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10452415	0.999948954929
5019	Pelekanos_2011_22099021	cCFU-f rep2	ILMN_2758581	0.999920809484
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10452415	0.999909189771
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10452415	0.999901573426
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10452415	0.999901159692
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10411452	0.999901129481
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10411452	0.999900293595
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10452415	0.999898838159
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10548143	0.99989809155
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10452415	0.999892385847
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10452415	0.999890897773
4000	Asselin-Labat_2010_20383121	MaSC_GSM511132	ILMN_2758581	0.999876139036
6231	Kojima_2013_24139757	EpiSCs_CAV2_2	ILMN_2758581	0.999864798717
6231	Kojima_2013_24139757	EpiSCs_CAV2_1	ILMN_2758581	0.999864245409
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10353250	0.999852347866
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10353250	0.999850603446
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10411452	0.999850053404
6231	Kojima_2013_24139757	EpiSCs_LB3_3	ILMN_2758581	0.999848557887
5019	Pelekanos_2011_22099021	cCFU-f rep1	ILMN_2758581	0.999840645913
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10452415	0.999840541192
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d6 p i with LCMV-Arm CD8+ Acute Day6	10452415	0.999839235525
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10452415	0.999836272519
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10452415	0.999835504277
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10452415	0.99983327981
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10452415	0.999833128251
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10452415	0.999831671846
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10353250	0.999802348069
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10452415	0.999800986509
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10452415	0.999800373546
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10411452	0.999796424604
6231	Kojima_2013_24139757	EpiSCs_PS5_3	ILMN_2758581	0.999785605597
6231	Kojima_2013_24139757	EpiSCs_CAV1_1	ILMN_2758581	0.999783767052
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10353250	0.999783621755
6231	Kojima_2013_24139757	EpiSCs_LB1_3	ILMN_2758581	0.999783043601
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10452415	0.99978241973
6231	Kojima_2013_24139757	EpiSCs_CAV2_3	ILMN_2758581	0.999779259424
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10353250	0.999778667064
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10417617	0.999775783201
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10353250	0.999774099227
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 2	10452415	0.999771128833
6231	Kojima_2013_24139757	epiblast_Cav2	ILMN_2758581	0.99976548011
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10353250	0.999755743513
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10417617	0.99975148816
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10353250	0.999748590625
6346	Brunskill_2014_24780627	Embryo at E9.5, epidermal ectoderm 7	10452415	0.999748214824
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10353250	0.999733742372
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10528167	0.999729091007
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10353250	0.999727530519
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10417617	0.999726529971
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10353250	0.999723760933
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 1	10452415	0.999721360877
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 3	10452415	0.999720332141
6231	Kojima_2013_24139757	EpiSCs_LB3_2	ILMN_2758581	0.999714501837
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10565921	0.999714410048
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10532027	0.999706334401
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10523354	0.999706334401
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10384552	0.999706334401
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10548143	0.999703698306
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10528167	0.99970200126
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10353250	0.999701089109
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10528167	0.999694831251
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 3	10452415	0.999686651625
6346	Brunskill_2014_24780627	Embryo at E9.5, epidermal ectoderm 7	10417617	0.999685547506
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10417617	0.999684087317
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10353250	0.999682962768
5019	Pelekanos_2011_22099021	BM-MSC rep4	ILMN_2758581	0.999680804751
5019	Pelekanos_2011_22099021	BM-MSC rep2	ILMN_2758581	0.999677155008
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10353250	0.999675136305
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10452415	0.999670656766
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10411452	0.999669834074
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10528167	0.999666964649
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d6 p i with LCMV-Arm CD8+ Acute Day6-1	10452415	0.999663166344
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10411452	0.999660784131
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10452415	0.999660760444
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10452415	0.999659889928
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10545765	0.99965900797
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10501857	0.99965900797
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10496626	0.99965900797
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10491967	0.99965900797
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10480032	0.99965900797
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10565921	0.999654410155
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10565921	0.999652520172
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10452415	0.999644150166
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10353250	0.999644050555
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10548143	0.999639095934
6231	Kojima_2013_24139757	EpiSCs_CAV2_1_amp	ILMN_2758581	0.999628049836
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10353250	0.999621973825
6231	Kojima_2013_24139757	EpiSCs_PS5_3_amp	ILMN_2758581	0.999621945487
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10452415	0.999619533692
6346	Brunskill_2014_24780627	Embryo at E10.5, mandibular arch 3	10452415	0.999618125209
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10545765	0.999618019508
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10501857	0.999618019508
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10496626	0.999618019508
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10491967	0.999618019508
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10480032	0.999618019508
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10353250	0.999616774185
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10452415	0.999612747603
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 2	10452415	0.999612607143
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 3	10452415	0.999611559532
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10579769	0.999608636575
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d8 p i with LCMV-Clone 13 CD8+ Chronic Day8-2	10452415	0.99960673564
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10353250	0.999605182795
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10528167	0.99960512699
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10579769	0.999603050709
6346	Brunskill_2014_24780627	Embryo at E10.5, rathke's pouch 2	10417617	0.999600836906
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10548143	0.999599860244
